text,label,new_label,confidence,annotation_note,needs_review,language_type,annotator,prev_label,label_original,source_id,aug_method,script,emoji_count
bhaart Na beshi chiN্ta bangladesher hBe karn chAয়na maler KoN g্jaran্ti neI misail BhaRte marte giয়e bngladeshe giয়e prbe 🤡,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,80122,"syn,translit,informal",mixed,1
ভারতের বিরোধী দলের সাথে জনগনের কোন সম্পর্ক নাই 🥵 💩,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,81549,"syn,codemix,emoji",bn,2
bhaaart ich্chha krle ek belatei kelij়e kangladesher gand় than্da kre dite pare।,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,78327,"translit,codemix,emoji",mixed,0
khaankir pular phasi chai jয় bangla pakis্tan 🔥,general,Geopolitical,High,Nationality/ethnic group targeted,False,Bangla,ChatGPT (rules v6),Geopolitical,Geopolitical,79482,"syn,translit,emoji",mixed,1
tai mne p্rsH্n jage dader gt nir্bachne hel্p krar njrana deoয়a hch্chhe nato desher MuK্tiJod্dha ar SAdharN manush Na kHeয়e mrchhe aR srkar koti taKa bharte DHELe dich্chhe ।... 🤣 🔥,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,74735,"codemix,emoji",mixed,2
br্tmaane bangladeshe dsh lk্sh bhartiয় aCHHE,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,84597,"translit,codemix,informal,emoji",mixed,0
eta kangla desher nIUj ch্janel oi JN্j bhul KhbR diCH্ChHE pakis্tan bAl chhid়e anti bandhbe shudhu kukuR mtO gheu ghEu gHeu gheu shb্d KrBE er theke beshi kichhu nj় 😡,Religious,Geopolitical,,,False,,,Religious,Geopolitical,81514,"translit,informal,emoji",mixed,1
dur্bhag্jjnkbhabe BANGladesh onek K্ShEt্re bharsam্jmoolk obs্than g্rhn KrTe parchhe Na nanabhaBe BAnglaDEsHer s্bar্thsngsh্lish্t p্rkl্pgulote BHarter p্rt্jk্sh O prok্sh hs্TK্sheP ghtte DeKhA jaCh্ChhE bas্tbta hCh্cHhe ONek bড় DhRner p্rkl্pe BHaRT nIjEI cHineR muKHaPek্Shi sekhane bAnGLadeshE chiNer BIniয়oG NIয়e bharter netibachk obs্tHan g্rhN e ony্cHle bhArter odurdr্shi rAjnOItiK p্RBhab bis্tarer nongrA kHela chhaড়a kichhu nয় CHEener sAthe sm্pr্k egiয়e Nite hle bHArtnIR্bHRtA katiয়e bangLadeshKE s্badheEnbhaBe kichhu sid্DhaN্t nitE hbe,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,78458,"syn,translit,codemix,informal",mixed,0
"71 sale amra s্badheentar jn্je jud্dh krleo bhart krechhil pakis্tan bhangar jn্je, etai itihaser kthin bus্tbta 💩",Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,79030,"syn,translit,codemix",mixed,1
bhaarteeয় mn্ti niয়e oalochna onthk  ar amader mn্tira juta selai kre pre na ota lokdekhano nekami mae,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,81697,"syn,translit",mixed,0
tkhn banggali bir senara buke main bendhe ras্taয় shuয়e bharter onek t্jangk dh্bngs kre jud্dh jয় shj krechhilen। 💢,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,83602,"syn,translit,emoji",mixed,1
bhart amader kon bhal mene nite pare na othch amader desher ekdhrner rajneetikra nijer desher k্shti kreo bharter upkar kre 😠,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,84272,"syn,emoji",mixed,1
eei shaleer ghrer shali chudanir gHrEr chudani tor mAke chuduM tore chudum toR meয়e o bon ke chudum bharteeয় senara bhয়e Palach্cHHe na tor mar heDat Jach্chhE chudte ei shali ar jdi takar Jn্J EMn mith্ja nius aplod kris tahle tui tor babar sathe ebng tor BhaIয়er sathe chude b্lu PH্LiM kr onek taka pabi sHali toKe o tor make chudbo 😏,general,Geopolitical,High,Explicit sexual/gender abuse (v6 rule),False,Bangla,ChatGPT (rules v6),Gender-based,Geopolitical,75804,"syn,translit,codemix,emoji",mixed,1
আপনি কি ভারতের পারে চাটা গোলাম 😂,Religious,Geopolitical,,,False,,,Religious,Geopolitical,24901,"syn,codemix,emoji",bn,1
iinsha al্lah pakis্tan uikete jitbe bhart bnam pakis্tan ei mech 🥵,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,82362,"syn,translit,codemix,emoji",mixed,1
এক দিন ভারতে হিনদু নাগরিক। নারি পুরুস সবায লেংগটা চলবে অভাবে সবাবে। যাদের সরম শেষ তাদের কে ভুজানোর কোন খমতা নাই।সরকার সব ধংস করে দিতেছে। মরবে গরিব। 😡 🤡,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,79814,emoji,bn,2
bhaaart amader kon bhal mene nite pare na othch amader desher ekdhrner rajnitikra nijer desher k্shti kreo bharter upkar kre। 💢,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,76277,"translit,codemix,emoji",mixed,1
kothaয় ei sb ultapalta khbr pan   nয়adign্t bhart p্rti na ki 😂 🤬,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,76017,"syn,codemix,emoji",mixed,2
mmtar bharter p্rdhanmn্t্ri hoয়a uchit । eta jto taratari hbe tto mng্gl । modee nijei jal satiphiket ar koti ruchi ghush niয়e o bharter p্rdhanmn্t্ree chin্ta kren tle tle ki krchhen,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,5972,"translit,codemix",mixed,0
bhaarter sd়jn্t্re   poor্b pakis্tan pৃthk hj়e jaj় 💩 🔥,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,77590,"syn,translit,codemix,emoji",mixed,2
bharteej় bieseph sale jn bangladesheeke ht্ja kre  sale jn  sale jn  sale jn  sale jn  sale jn  sale jn  sale jn  sale paoj়a jaj়ni  sale jn  sale jn  sale jn  sale jn  sale jn  sale jn  sale jn  sale jn  sale jn  sale jn  sale jn  sale chlman 😠,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,77739,emoji,mixed,1
aal্lah্ bhart ke eKta bHaLo Mtea shIk্Sha dek amin amin amin...,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,75684,"syn,translit,informal",mixed,0
eer baje pt্rika nj়a dign্t।।khankir polara sb smj় bhart pakis্tan b্japare in্dn de।। 🙄 🔥,Personal,Geopolitical,Medium,v7.2: geo/nationality cue override,False,,,Geopolitical,Geopolitical,83193,"translit,emoji",mixed,2
bhaaarter mt ekti desher p্rdhan kibhabe emn natk krte pare 😂,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,80419,"translit,emoji",mixed,1
deeshe To bHalOmaNEr naj়k naj়ikar koN sngkt neI Tbe ken BHarTeeJ় naj়k NaJ়Ika deSHi sinemate?!!! 🤡,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,75168,"translit,codemix,informal,emoji",mixed,1
phiin্ni bharter sathe bangladesher tulna mane sonar sathe kadar tulna 🤡,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,84647,"syn,translit,codemix",mixed,1
hasalen bhart pakis্thaner sathe ki kkhno parbe 💢 😠,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,84453,"syn,translit,codemix,emoji",mixed,2
KHaNKir pola rohiNg্gara bangladeshe dhukle ki tor kon sms্ja? 😠,Personal,Geopolitical,Medium,v7.2: geo/nationality cue override,False,,,Geopolitical,Geopolitical,82243,"syn,emoji",mixed,1
se t hbei dadar baড়ir bhart ble ktha 🔥 🔥,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,77981,"translit,codemix,emoji",mixed,2
gaany্ja khaichhe hala bharter ja achhe Sb dIয়ao cHAde jAoয়a sm্bhB na Ebhabe jaoয়a jABe na 🤣,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,83584,"translit,emoji",mixed,1
ol্p bয়se utle bal tar duhkh chirkal (bharter chhelera+meয়era ) 🤣,Personal,Geopolitical,Medium,v7.2: geo/nationality cue override,False,,,Geopolitical,Geopolitical,74329,"syn,translit,emoji",mixed,1
ভারতের অর্থনীতি নিয়ে আপনাদের ভাবতে হবে না  ভারতের অর্থনীতি নিয়ে ভারত সরকার আছে  আদার বেপারী জাহাজের খোঁজ নিয়ে লাভ নাই 😠,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,5047,"syn,emoji",bn,1
71 e sHEkh hasina pakis্taneeder jipe Chড়e DHaNmN্di leke GHURE beড়iয়echhen ~ 💩,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,6859,"translit,codemix,informal,emoji",mixed,1
আমরা বলতে কারা ভারত তাইতো 😡,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,33429,"syn,emoji",bn,1
ntun keৗshle bhartiয় ch্janele chle jach্chhe deshi bij্nyapn bhartiয় ch্janel je dh্bngs krchhe amader sngs্kৃtir ong্gn  nijer bhalo sbai bojhe apnjn  bideshe ch্janale bij্nyapn deoয়aয় deshi ch্janeler takar bhag km prchhe tai p্rtibad krte bse gechhe  kin্tu jkhn bideshi ch্janel deshe p্rchar krte jkhn koti koti taka ber hয়e jach্chhil tkhn kothaয় chhil ei sb bkdhar্mik 🤬,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,83886,"syn,translit",mixed,1
BoOkaChODa geda gEDEe chal্la aMi BHaRT nA hLE tomaৰ s্badhinta podeৰ mdh্j dhuiয়a GelHoi 🤬 🤡,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,78511,"syn,translit,informal,emoji",mixed,2
ooi suj়orke p্rachin shas্tite mara uchitoh bhaij়a bhul hch্chhe oitao km bhai ami kon shas্ti khunje pach্chhi na mৃt্ju o km oi suj়orer jn্j 💩,general,Geopolitical,Medium,Kinship insult but no explicit gender abuse,False,Bangla,ChatGPT (rules v6),Personal,Geopolitical,78323,"syn,translit,codemix",mixed,1
bHaaaarTeR mN্T্ri ekhn apnar choKh on্dh।sbkIChhur sima achhe al্lar bichar al্la krben ।?!,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,82946,"translit,codemix,informal,emoji",mixed,0
kaaAngLAdeSh bIshj়E p্rDHAn kichhu an্tjar্tik p্rsh্n o ut্tr bharter tj়lEt nij়e ken et mathab্jatha U karn tara paj়khana bAthrum PriSH্KareR KAJ kre bhaRte jt tj়let hbe taDer aj় beshi HBe bharter gru niJ়E tader ken Chin্ta u karn SHOoKrer mangs khej়e khej়e g্jas oM্BL hj়E Gechhe gru na khele alsar hj়ei mrbe pakis্taner cHaitEo tara age jud্dh chaj় u KARn tara suipar jud্dhprbr্tee NonGrA mj়la saphai eR kaj krte tara dk্sh Ke tara chur mNe kre ken u karn tADer chAite bd় Chur KEu nai br্dare ge 😂 😠,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,80388,"syn,codemix,emoji",mixed,2
aamar abhij্nyta bhart jtbari e dhrner mith্ja p্rcharna chalaয় tth bari pakis্tan ekta kre dholai deয় bhartiয় senader ke  kয় din chup theke abar kch্chper mt kl্la berkre abar ble pakis্tane kjek sena niht hয়echhe  pak jenarelra ei mith্ja sngbad shunar pr tader matha hয়e jar grm  tara oi kch্chhp khaoয়a j,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,7819,"syn,translit,emoji",mixed,0
ki abal tore ami t্jangk PhAitar ar jahjer nam BlTe blechhi ja pAKis্Tan baniয়echhe।। bHaRTer MIsailEr nam shun og্ni pৃthi suRiয়a nirbhয় b্rams os্t্r B্RrunAS্T্r nag akash t্RishuL dhnush p্rhar sagarika ke Barak aro onek misai। toke t্jangK phaitar jahjer NaM blte blechhi। 🔥,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,78530,"syn,translit,informal,emoji",mixed,1
bharte pৃthibeer tin bhager ek bhag drid্r lok bas kre  tai oj্nyta ebng opradh okhane sbcheয়e beshi 😠,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,5203,"syn,translit,codemix,emoji",mixed,1
sadharn manush ke na mere sahs thakle paksenar sathe jud্dh kr paksenar jn sman bharter jn sena। 💢,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,1534,"syn,translit,codemix,emoji",mixed,1
s্taar jlsa ki bhAlo ? SultAne suleman onek BHalo । desher nat্JKaR der bojHA UchIt natker majhe Et bij্nyAPn ken ? amRA cHaI ei dhrner Siriয়al thaklei sBar jn্j bHal oi bhartiয় siriয়al jt sms্JA ebNg oSh্LiltA diয়e bhra।... 🤬 ~ 🤬,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,83533,"syn,translit,codemix,informal,emoji",mixed,2
bhaart kkhNiBangladesHE BNDu Na ORaSuDuoDErLaBtiidEkheCHhE ~,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,74202,"translit,codemix,informal",latn,0
bhartiয়ra je grur bach্cha ta ei raয়er madh্jme p্rtiphl hয়echhe 🤣,Religious,Geopolitical,,,False,,,Religious,Geopolitical,73806,"translit,codemix,emoji",mixed,1
bhart ren্dimagi pakis্tan khangkimagir put mruk dui banchot 😏,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,81517,"syn,emoji",mixed,1
bHarTeR keu jdi bd় kre phad marE tar JN্j tini shOkaHT hN,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,81628,"syn,translit,codemix,informal,emoji",mixed,0
bangladeshi gulo chirkaler kan kata kut্ta। hajar galagali dileo shodhranor nj়। ei dhrner bangladeshi gulor jn্ji amader bhartij় bangalider nam bdnam hj় � jtsb chhot loker dl। 🤡,general,Geopolitical,High,Nationality/ethnic group targeted,False,Bangla,ChatGPT (rules v6),Geopolitical,Geopolitical,76288,"syn,translit",mixed,1
sht niir্jatit manusher jaj়gaj় hj় na kin্tu lk্sh bharteej় oboidh bhabe shudhu thaklei na kajo krchhe bina sulke,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,85098,"syn,translit,codemix",mixed,0
naan্nu papn kuttar Bach্chA ami bharT in্Diয়an theke pDt্jag chai ei kur্ta der 🥵 😏,sports,Geopolitical,,,False,,,sports,Geopolitical,78410,"translit,informal,emoji",mixed,2
যুদ্ধ চাই না কিন্তু ভারতকে সমর্থন করি এই দুইটি ব্যাকই আপনার কোনটা সত্য 😡 😡,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,82838,"syn,emoji",bn,2
eekAt্Tre BHArt ash্rয় diয়echhilo Ekhn bangladesher bড়o ongsh gali deয় bhartke 🤬,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,80814,"syn,translit,codemix,informal",mixed,1
emn duhkh p্rkash niয়e duhkh hয়। bharte jara mara jaয় tara manush ar miয়anmare jara mara jaয় tara shudhu muslman 🥵,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,75035,"syn,translit,codemix",mixed,1
BHarte buker patha thakle bAnGlAdEsh osto DEKHaয় dibo bangladesher bash ta ki rkm 🙄,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,84046,"syn,translit,informal",mixed,1
In্DIয়an nijera t pagl sala duNiয়AR sbaike pagL mne kre babr er kachhe jmIR obhab Chhil tai mn্dir er uPr mSjId krechhen paGLer ktha sb ei Sb juk্ti mith্je 🤡 🥵,general,Geopolitical,High,Nationality/ethnic group targeted,False,Bangla,ChatGPT (rules v6),Geopolitical,Geopolitical,80988,"syn,emoji",mixed,2
tui ekta bokachoda। 🤣 ~,general,Geopolitical,High,Explicit sexual/gender abuse (v6 rule),False,Bangla,ChatGPT (rules v6),Gender-based,Geopolitical,80596,"syn,translit,informal",latn,1
sei bhartiয় hatir khbr ki bibisi bangla 😠,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,79935,"syn,translit,codemix,emoji",mixed,1
bideshi chenele bangladeshi ed bn্dh krun ebngsei sathe bideshee chenel gulu bn্dh krle deshiয় cheneler mr্jada onek gun bৃd্dhi pabe ektu dekhen bharte bangladesher ekta chenelo chlena othch bangladeshe bharter p্raয় cheneli chle nijer desher cheneler kon khbr nai othch bideshee cheneler ag্rasne desh nsh্t mane maয়er cheয়e masir drd beshi 💢 🤬,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,78242,"syn,emoji",mixed,2
nijer obh্jn্trin Muk্tijod্dharA manbetr jibn japn krtechhe prer ghre oalo deoয়a mane hয়na kৃtj্nytar name ekdin banGlADeShEta bHarte kACHhe dIয়e diben mnehয় ~ 🤬,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,78221,translit,mixed,1
খানকিমাগী তোর দুই ঠ্যাং ধরে ছিঁড়েফেড়ে ভারতের রাম মন্দিরের ইতিহাস বের করে দেব চুতমারানি তোর সাহস কি করে বাজে কথা বলার 😠,gender,Geopolitical,,,False,,,Gender-based,Geopolitical,24701,"syn,codemix,emoji",bn,1
bharter dkhle cHle jach্chhe tis্tA ndI ~,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,81508,"syn,translit,informal",mixed,0
SAalA aBal cHudA।। blder mt ktha!; eksmয় bangladesher s্pin sera chhil ekhn bangladesh thekE aphganis্tan pakis্tan bhArt S্piNe bhal।।taile apnARa ki bhal pHalaiTAcHHeN?? BaNglAdEsh s্pineR un্nti Na hiয়a obnti kere?? 🤬,sports,Geopolitical,,,False,,,sports,Geopolitical,73838,"syn,translit,informal,emoji",mixed,1
Chiin SRKaR jdithaidite pare bangladesh kENPaRBeNa bangladesh ektatar্get dik je amiokIChHuMaNusH as্rয়dib amaderpasher deshgolakeo onUrd janatepare। BaNGLadeSHeRmanush bulEjaBEn na EKsMয় apNaDer pashe bHart dariয়eChhIl ar rhinggader PaSHeSudu midiয়a,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,83122,"translit,informal",mixed,0
aamar majhe majhe mne hয় s্t্jan li jdi p্rachin bharte  jn্m nito ar marbhel likhto tahle tora hয়to ajke aয়rn m্jan s্paidar m্jan suparm্jan der mn্dir baniয়e puja kra shuru kre diti। 🤣 🤡,Religious,Geopolitical,,,False,,,Religious,Geopolitical,74511,"syn,translit,codemix,emoji",mixed,2
Bhaart chaiLe seta bn্dh Krate paRbE kin্TU na KrAয় uCHit । kuKuRer mt mAr shalader ~ 😂,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,83167,"syn,translit,codemix,informal,emoji",mixed,1
oi in্diয়an am্paয়ar rbi halar pore thar্d am্paয়ar dite kichhe keda? 🤬,Personal,Geopolitical,Medium,v7.2: geo/nationality cue override,False,,,Geopolitical,Geopolitical,78136,emoji,mixed,1
BhaartER mancHit্r matir sathe misHIয়e dAO,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,78443,"syn,translit,informal,emoji",mixed,0
bhaart amader bn্dhu Hte pAREnA aMader 1nngbar dushmn। 🙄 😂,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,79079,"syn,translit,informal,emoji",mixed,2
biijibir sds্jra jdi deshp্remik hয়e thake tbe er d্bigun bharteeয় kut্take ht্ja kre er bdla neয়a uchit 🔥,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,75150,"syn,codemix,emoji",mixed,1
bhAARtIয় hati dhukle tar khatIrdaritE AMAder rater ghum hAraM Hয় Kin্Tu rohing্gara ektukhani banchar ASHaয় SiMan্te ele amra tader lathi mere PHIriয়E dEi,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,80892,"syn,translit,codemix,informal,emoji",mixed,0
chiinara sb chudbe ese kangluder ma bon achhe jto,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,83405,"syn,translit,codemix",latn,0
jtiii mruk bhart s্bikar krbena। Emnite bHarter senara bhitu sTHik tth্j dile aRea bHITu hয়e pড়bE। tar p্rman jud্dher sm্bhabn DEKhe hjAR senar ChhUtir abedn।,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,84881,"translit,codemix,emoji",mixed,0
bhaart pakis্tanerr uchit kash্meerke chheড়e deয়a kash্meerr s্badhintai pare pakbhart d্bn্d্b bn্dh krte 🙄,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,80779,"translit,codemix,emoji",mixed,1
আর জেই ভারত শাসন করেছিল মুসলমানেরা heই ভারতে আজ মুসলমানদের কি অবস্থা heটা চোখে পড়েনা আপনাদের নিজের বেলায় আনা আর অন্যের বেলায় কাচকলা এটাতেই প্রমান হয় আপনারা কত বড় সার্থপর 🤬,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,74396,"syn,codemix,emoji",mixed,1
aamra chhaয় BHaRTke dh্bngs kre klkata dkhl krb!!!,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,81115,"syn,translit,codemix,informal,emoji",mixed,0
khbr bhaarte onush্tit hte jaoয়a b্riks bimstek sm্melne jach্chhen p্rdhanmn্t্ree,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,78901,"syn,translit,codemix,emoji",mixed,0
bhaaRtE mat্r jn tai smbedna janach্chhe ar mEয়AnmaRE to oSngKh্j moslmAn amader p্rdhanmn্t্rir kaChhe et smbEdna nAi 🔥,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,83244,"syn,translit,codemix,informal,emoji",mixed,1
bharter nouka hLe jaয়ga hto mnE hয়। 😡 😂,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,83587,"syn,translit,emoji",mixed,2
jaaara bharter pk্she ktha bLe tader dESher pti kon bhalobasa nei,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,74760,"syn,translit,codemix,emoji",mixed,0
"manchit্r bdlab na, bhartke saph jaNiয়e dil nEPal 😏",Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,34822,"syn,translit,codemix,informal,emoji",mixed,1
BhAAI ager BaNgLadesh ar agEr Nয় ekhn din bdler pala sourbh dada tUmI ekhn eiTa s্bp্n deKHte par bte ekhn amra ingl্jan্d niujil্jan্d pakIs্TAN Oয়es্tDis ar bhart tO sadharn bepar ar Os্tLiয়a to Bয় peয়e bangladesher sathe kHeltEi CHAয় na!!! 😡,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,34592,"translit,informal,emoji",mixed,1
bhaart hl bangladesher shoshk o ek nm্br sht্ru 😂,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,79743,"syn,translit,emoji",mixed,1
"mANchit্r bdlab Na, bhartke sAph jaNIয়e dil NEpal 🤬 😡",Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,80759,"syn,translit,emoji",mixed,2
chin srkar jdithaidite pare bangladesh kenparbena bangladesh ektatar্get dik je amiokichhumanush as্rয়dib amaderpasher deshgolakeo onoord janatepare  bangladeshermanush bulejaben na eksmয় apnader pashe bhart dariয়echhil ar rhinggader pashesudu midiয়a 😏,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,77879,"syn,translit,emoji",mixed,1
ShaalaRA GaJA Mne hয় ektu beshi khaiCHhE age bhartee osh্lil siriয়al bn্dh kr tarpR na hয় bideshi sultan SUlemAn?!,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,1895,"syn,translit,informal",mixed,0
deshe to BhalomaNER naj়k naJ়iKar kon SngkT nei TBe ken bhartiJ় NAJ়k naj়iKa DeSHi SInemaTE?,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,79869,"translit,informal",mixed,0
bhaart AmAder BHal chaয় na?! 😡,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,75869,"syn,emoji",mixed,1
aami shudhu blbo ora (bhart) haramir thekeo harami 🥵,Geopolitical,Geopolitical,,,False,,,Geopolitical,Geopolitical,81240,"syn,translit,codemix,emoji",latn,1
